list	has_preview	trial	paragraph_id	article_id	article_title	paragraph_level	paragraph	question_id	question	a	b	c	d	correct_answer place in the a b c d ; 3=d 	answers_order	Aspan_inds	Dspan_inds
1	1	1	1	1	The Greek island where time is running out	Int	"Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can’t process data and there isn’t a single ATM or credit-card machine on the island. Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well. They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard – by word of mouth – of its spectacular empty beaches, clear seas and fresh seafood."	1	What was it like in Agios Efstratios before the event in question 1?	The surrounding waters were polluted	A good number of tourists	The few rooms for rent were empty	The island was remote	1	[3 0 1 2]	"[(66, 98)]"	"[(0, 5)]"
1	1	2	2	1	The Greek island where time is running out	Int	"But, because the island still runs on cash, the closure of banks nationwide has been devastating. Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can’t get together enough money to come. “Tourist numbers are down 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people. “Even people born here and living in Athens, who have their own places on the island, aren’t coming.”"	2	Where do island residents have to travel to get cash?	"Nowhere, they use their local ATM machine"	The big island that is the closest to them	The only bank which is 9 hours away	The city of Athens on the mainland	1	[3 0 1 2]	"[(0, 89), (33, 89)]"	"[(71, 89), (0, 0)]"
1	1	3	3	1	The Greek island where time is running out	Adv	"Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: “We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can’t help them.” A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbour but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands."	2	Who has been granting the islands a tax break?	The wealthiest island residents	Major Greek banks	Island have never received a tax break	The government	3	[3 2 1 0]	"[(87, 109)]"	"[(0, 16)]"
1	1	4	4	1	The Greek island where time is running out	Int	"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable. Tourist favourites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat. “If we have to pay a tax of 23%, I’m sorry to say it but we will all die on the island,” says Kakali. Food and fuel are already more expensive than on the mainland, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel. “This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,” said Provatas Costas, a 58-year-old fisherman."	0	How would ending the tax break affect Greek islands?	It will increase fear on the island	There will be no more tourists	"Overall, things would be much more difficult"	Everyone will die	2	[1 3 0 2]	"[(34, 55)]"	"[(56, 87)]"
1	1	5	5	1	The Greek island where time is running out	Adv	"For Agios Efstratios and its closest large neighbour, Lemnos, the timing of the crisis is particularly cruel. They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries. In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands’ largely overlooked charms, before the bank controls hit. “It started out as the best season in 30 years and, in one week, became the worst,” said Atzamis Konstantinos, a travel agent in Lemnos who used to earn €15,000 a month as a captain of petroleum tankers and other large ships but came home because he missed it so much."	0	What improvement helped make these islands more popular for tourists?	Increased social media presence	Cruises to the island	Decreased bank controls	Efficient transportation to the island	3	[3 1 2 0]	"[(17, 36)]"	"[(62, 67)]"
1	1	6	6	1	The Greek island where time is running out	Adv	"Lemnos has dozens of wild beaches, where even at the height of summer you can swim and sunbathe virtually alone, a small nightlife scene and numerous cultural sites. It is the eighth largest island in Greece so is in line for the first round of tax increases in autumn 2015 but far less wealthy than many smaller ones. It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes. Its councillors say that they will fight the tax rise, although none can say how. “We have been suffering economically in recent years and, now, we will suffer more,” said Lemnos Mayor, Dimitris Marinakis. “When there is not enough money, you reduce your consumption and therefore the whole economy declines.”"	1	Why will Lemnos suffer more from tax increases than other islands?	It is very large	It does not have many beds	It is more poor 	It is experiencing political tension	2	[2 1 0 3]	"[(51, 77)]"	"[(28, 50)]"
1	1	7	7	1	The Greek island where time is running out	Ele	"If taxes go up, even more young people will leave, warns Mayor Kakali, who has devoted her year in office to improving education on the island to help keep it an attractive place for families. Because it is one of the smallest islands, Agios Efstratios has until 2017 before the rise is due to come in, so Kakali hopes that the roller coaster of Greek politics means it yet may be spared. If not, though, she plans to travel to Athens to remind the distant government what the tax rise would cost. “The truth is the government doesn’t pay much attention to the islands of the north Aegean,” she said, “so I would take all the kids from our school to the gates of parliament, to tell them: 'There is still life in these islands'.”"	0	What does Kakali hope will happen by 2017?	The government will remove all taxes	The situation in Greece will change	The government realizes the cost of the tax rise	Agios Efstratios earns enough money to sustain taxes	1	[1 0 2 3]	"[(35, 72)]"	"[(72, 92)]"
1	1	8	1	2	Are MOOCs the Future of Higher Education?	Ele	"“There are certainly MOOC junkies, who take them for no other reason than they’re free and they like hanging out,” grins Dr Ben Brabon of Edgehill University, whose massive open online course in vampire fiction is one of only two accredited MOOCs currently on offer in the UK. Brabon isn’t denigrating people who enroll in MOOC courses: he’s simply pointing out the motivation that prompts certain individuals to sign up. When a course is open entry – MOOCs have no enrollment criteria and no fees to pay – then participants are going to behave very differently from students in a traditional higher education setting."	1	Which of the following is true about MOOCs?	MOOC stands for Massive Open Online Commerce	They have entry tests	They’re free	There are only two accredited MOOCs in the world	2	[3 1 0 2]	"[(77, 87)]"	"[(33, 45)]"
1	1	9	2	2	Are MOOCs the Future of Higher Education?	Ele	"MOOCs are the newest big thing in the quest to enable higher education for all. A great deal of venture capital money is being invested in the emerging online platforms, which enable the delivery of increasingly sophisticated and interactive course content to participants who can number in the hundreds to the tens of thousands. For these investors, the Holy Grail is to find a business model for MOOCs that will make them profitable – so far, courses have depended on universities being prepared to bankroll their star lecturers’ curriculum design and online teaching time. Mining the data captured about how, why and when millions of participants opt to sign up, interact with their material, submit their assignments, message each other and drop out of the course may be one way of getting a return on the investment."	2	Who is immediately benefiting from investments in MOOCs?	The companies financing MOOCs	Those who are studying the data on participation	The many students who enroll in online courses	The lecturers designing online curriculum	2	[1 2 0 3]	"[(15, 54)]"	[]
1	1	10	3	2	Are MOOCs the Future of Higher Education?	Adv	"Part of the dilemma around which future direction MOOCs will take, however, is that nobody can yet define whom exactly they are meant to benefit. Universities keen to entice fee-paying international students onto postgraduate courses by showing off their best programs online? Students in developing countries hungry for access to first-world universities? Employees wishing to develop their professional knowledge? People lacking qualifications who want to use MOOCs as a bridge to higher education? Or hobby learners, who are keen to learn about a subject area in which they have an interest?"	0	How might MOOCs benefit universities?	By developing professional knowledge	By allowing universities to test courses before they offer them to their students	By having international students pay fees to take MOOCs	By attracting students to take postgraduate courses	3	[2 3 1 0]	"[(25, 42)]"	"[(52, 59)]"
